neighbourhood,listings,price_mean,price_median,reviews_mean
Barking and Dagenham,372,60.52956989247312,45.0,0.7424731182795699
Barnet,1659,87.68595539481615,55.0,0.6963592525617842
Bexley,269,62.70631970260223,41.0,0.44048327137546467
Brent,2561,93.08902772354548,60.0,0.9376454509957047
Bromley,679,64.26067746686303,50.0,0.7057731958762886
Camden,5971,144.42890638084074,100.0,1.1675531736727516
City of London,465,190.7741935483871,150.0,0.8315913978494623
Croydon,1105,63.48868778280543,45.0,0.8058733031674208
Ealing,1746,79.77777777777777,55.0,0.8245418098510883
Enfield,673,65.4665676077266,50.0,0.617369985141159
Greenwich,1653,86.63339382940109,65.0,0.8875196612220205
Hackney,6275,95.76541832669322,75.0,0.7037721115537848
Hammersmith and Fulham,4210,131.62874109263657,95.0,0.9381140142517815
Haringey,2197,89.8179335457442,55.0,0.7981383705052344
Harrow,491,87.57230142566192,50.0,0.7259470468431772
Havering,255,73.57254901960785,45.0,0.8185098039215686
Hillingdon,668,63.971556886227546,49.0,1.2277844311377244
Hounslow,1030,99.10485436893204,62.5,0.9749223300970873
Islington,5108,112.62607674236492,90.0,0.8850998433829288
Kensington and Chelsea,6018,217.26802924559655,150.0,0.8631156530408773
Kingston upon Thames,555,78.17837837837838,55.0,0.8435495495495495
Lambeth,4853,92.89037708633835,70.0,1.014292190397692
Lewisham,2296,69.39329268292683,50.0,0.7266724738675958
Merton,1357,108.50478997789241,69.0,0.6095578481945467
Newham,1958,82.96680286006129,59.0,0.9275536261491318
Redbridge,700,64.23142857142857,45.0,0.7739142857142858
Richmond upon Thames,1200,125.77333333333333,90.0,0.8179583333333333
Southwark,4891,109.28399100388468,80.0,1.0308055612349214
Sutton,306,85.37254901960785,45.0,0.7396078431372549
Tower Hamlets,8240,91.69623786407767,72.0,1.0243167475728157
Waltham Forest,1431,70.87561146051712,52.0,0.7623899371069183
Wandsworth,4272,117.20950374531836,85.0,0.770437734082397
Westminster,9586,216.2534946797413,140.0,1.110543500938869
