neighbourhood,listings,price_mean,price_median,reviews_mean
Abrantes,47,57.38297872340426,30.0,0.29595744680851066
Acacias,170,156.1764705882353,45.0,0.7381764705882352
Adelfas,92,55.391304347826086,47.0,0.5415217391304348
Aeropuerto,11,40.72727272727273,33.0,0.6163636363636363
Aguilas,53,66.15094339622641,40.0,0.3262264150943396
Alameda de Osuna,50,205.8,55.5,1.5116
Almagro,172,140.8081395348837,88.5,0.44000000000000006
Almenara,87,101.52873563218391,55.0,0.8083908045977012
Almendrales,56,79.30357142857143,37.5,0.5339285714285714
Aluche,91,41.61538461538461,25.0,0.31241758241758244
Ambroz,23,141.95652173913044,34.0,0.40521739130434786
Amposta,16,209.875,35.0,0.226875
Apostol Santiago,21,95.95238095238095,36.0,0.39428571428571435
Arapiles,221,109.289592760181,40.0,0.49054298642533933
Aravaca,39,70.2051282051282,41.0,0.5482051282051282
Arcos,59,372.64406779661016,66.0,0.30694915254237287
Argüelles,281,102.98932384341637,65.0,0.5116014234875444
Atalaya,1,39.0,39.0,0.0
Atocha,28,80.21428571428571,70.0,2.054642857142857
Bellas Vistas,155,86.76774193548387,52.0,0.630774193548387
Berruguete,110,160.73636363636365,50.0,0.6776363636363636
Buenavista,70,96.3,40.0,0.2075714285714286
Butarque,17,35.94117647058823,28.0,0.5870588235294117
Campamento,25,95.88,25.0,0.3868
Canillas,93,68.51612903225806,39.0,0.8118279569892473
Canillejas,77,495.1818181818182,200.0,0.30818181818181817
Casa de Campo,93,169.38709677419354,52.0,0.49849462365591396
Casco Histórico de Barajas,38,70.8157894736842,48.0,2.540263157894737
Casco Histórico de Vallecas,89,75.23595505617978,39.0,0.5332584269662921
Casco Histórico de Vicálvaro,49,137.46938775510205,41.0,0.3208163265306122
Castellana,198,145.57575757575756,98.0,0.43393939393939396
Castilla,60,68.58333333333333,50.0,0.7373333333333334
Castillejos,137,170.3065693430657,60.0,0.5128467153284672
Chopera,152,71.24342105263158,41.5,0.8011842105263158
Ciudad Jardín,93,144.4731182795699,57.0,0.4053763440860215
Ciudad Universitaria,79,140.1012658227848,55.0,0.17227848101265822
Colina,15,94.4,50.0,0.43533333333333335
Comillas,105,172.16190476190476,39.0,0.6773333333333333
Concepción,79,88.35443037974683,40.0,0.6115189873417722
Corralejos,14,100.42857142857143,64.0,1.6764285714285714
Cortes,880,196.07272727272726,74.0,1.142443181818182
Costillares,41,104.3170731707317,50.0,0.34731707317073174
Cuatro Caminos,213,108.07511737089202,58.0,0.4838967136150235
Cuatro Vientos,16,47.0,38.0,0.41875
Cármenes,61,121.98360655737704,43.0,0.3062295081967213
Delicias,221,169.21719457013575,45.0,0.716606334841629
El Goloso,15,158.66666666666666,66.0,0.33666666666666667
El Pardo,3,195.0,49.0,0.30666666666666664
El Plantío,6,99.66666666666667,71.0,0.4166666666666667
El Viso,101,154.54455445544554,84.0,0.3316831683168317
Embajadores,2317,139.71514889943893,59.0,1.1553172205438067
Entrevías,48,56.270833333333336,30.0,0.7072916666666668
Estrella,20,49.85,34.0,0.3795
Fontarrón,44,65.13636363636364,25.0,0.3243181818181818
Fuente del Berro,127,189.40944881889763,55.0,0.44047244094488186
Fuentelareina,5,86.0,100.0,0.032
Gaztambide,218,82.44954128440367,44.5,0.43229357798165136
Goya,296,180.75675675675674,81.5,0.6515202702702703
Guindalera,253,118.86166007905139,68.0,0.5613833992094862
Hellín,31,484.6774193548387,300.0,0.2396774193548387
Hispanoamérica,90,120.61111111111111,72.5,0.5202222222222223
Horcajo,2,43.0,43.0,0.035
Ibiza,182,153.86263736263737,66.0,0.7323076923076923
Imperial,141,140.79432624113474,50.0,0.6653900709219858
Jerónimos,107,113.92523364485982,82.0,1.0610280373831775
Justicia,951,108.27549947423765,70.0,1.010483701366982
La Paz,31,120.45161290322581,49.0,0.26838709677419353
Legazpi,54,69.29629629629629,50.0,1.0848148148148147
